guid:0xDDA0BC913B6AAEEC time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:PhoneApp data:SIM line 1: 
guid:0xE9E9618B950856BD time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.simat data:atSetupMenu
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:CC data:LineChanged,1
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:net.rim.wlan.scan data:RAOn
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan data:Evnt-radio on
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan data:Actn-init
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetLine,-1,1
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetLines[1]
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetLineNumber,1,"null"
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:CC data:GetNumber,0,"null"
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:net.rim.wlan.scan data:Wait-delay
guid:0xEA9694AC2B44FBDB time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:net.rim.rcp data:CNdc
guid:0xEA9694AC2B44FBDB time: Thu Jul 01 11:52:39 2010  severity:4 type:2 app:net.rim.rcp data:CNsr
guid:0xEA9694AC2B44FBDB time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:net.rim.rcp data:CNdc
guid:0xEA9694AC2B44FBDB time: Thu Jul 01 11:52:39 2010  severity:4 type:2 app:net.rim.rcp data:CNsr
guid:0x287F0A38583E7BC6 time: Thu Jul 01 11:52:39 2010  severity:4 type:2 app:net.rim.networkapi data:Twsc
guid:0x21A5D236D4761C13 time: Thu Jul 01 11:52:39 2010  severity:0 type:2 app:net.rim.otasync data:DN+
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:39 2010  severity:5 type:2 app:App Perms data:d SlideshowToGo47:29
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:App Perms data:d SlideshowToGo47:34
guid:0xE68C69BA0F2EBC4D time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:CC data:GetNumber,0,"null"
guid:0x37C8B9CBFFD80A9B time: Thu Jul 01 11:52:40 2010  severity:3 type:2 app:net.rim.hrtRT data:NoPN
guid:0x37C8B9CBFFD80A9B time: Thu Jul 01 11:52:40 2010  severity:0 type:2 app:net.rim.hrtRT data:ESim 0x0
guid:0x37C8B9CBFFD80A9B time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:net.rim.hrtRT data:CNon
guid:0x37C8B9CBFFD80A9B time: Thu Jul 01 11:52:40 2010  severity:0 type:2 app:net.rim.hrtRT data:ENpc 0x22200130
guid:0x37C8B9CBFFD80A9B time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:net.rim.hrtRT data:CNew
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:App Perms data:d SheetToGo47:29
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:App Perms data:d WordToGo47:29
guid:0x287F0A38583E7BC6 time: Thu Jul 01 11:52:40 2010  severity:4 type:2 app:net.rim.networkapi data:Tsrc
guid:0x1295B4AADE149AFC time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:net.rim.timesync data:SynR
guid:0x37C8B9CBFFD80A9B time: Thu Jul 01 11:52:40 2010  severity:0 type:2 app:net.rim.hrtRT data:EHr!
guid:0x9B1D534EFCE2875F time: Thu Jul 01 11:52:40 2010  severity:3 type:2 app:net.rim.autotimezone data:Sync 2 1278021160180 1277977960180
guid:0x37C8B9CBFFD80A9B time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:net.rim.hrtRT data:CDrp
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:App Perms data:d SheetToGo47:34
guid:0xC1A90F9B4F904C57 time: Thu Jul 01 11:52:40 2010  severity:5 type:2 app:App Perms data:d WordToGo47:34
guid:0x5D41D4729582C2DA time: Thu Jul 01 11:52:40 2010  severity:0 type:2 app:RootRegister data:mount 1 SDCard/ rc=0
guid:0x5D41D4729582C2DA time: Thu Jul 01 11:52:40 2010  severity:0 type:2 app:RootRegister data:MNT1
guid:0x37B669626F50FB66 time: Thu Jul 01 11:52:40 2010  severity:3 type:2 app:FileIndexService data:file:///SDCard/BlackBerry/system/media/: net.rim.device.api.io.file.FileIOException: File not found
guid:0xA9D098450BA333E9 time: Thu Jul 01 11:52:41 2010  severity:0 type:2 app:net.rim.ribbon data:Set BG: null 320x240
guid:0xBEF92E11214401C3 time: Thu Jul 01 11:52:41 2010  severity:0 type:2 app:UI data:GS-D c81fabd0
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:41 2010  severity:5 type:2 app:net.rim.wlan.scan data:Evnt-timeout
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:41 2010  severity:5 type:2 app:net.rim.wlan.scan data:Actn-start
guid:0x60714307F914D8D5 time: Thu Jul 01 11:52:41 2010  severity:5 type:2 app:net.rim.wlan.scan data:Wait-idle
guid:0x5D41D4729582C2DA time: Thu Jul 01 11:52:42 2010  severity:0 type:2 app:RootRegister data:UNL1
